id1,id2
25,287
41,288
70,289
71,290
71,291
72,292
74,293
75,294
94,295
94,296
95,297
95,298
96,299
96,309
97,225
97,141
97,300
141,225
141,141
141,300
184,301
184,302
212,303
213,304
214,305
214,310
214,311
215,306
220,307
220,308
221,312
221,313
225,97
225,141
225,300
